Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Argentina;ARG;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2550000000;2975000000;3153000000;3353000000;3175000000;3195000000;2756000000;1716000000;2306000000;2660000000;3209000000;3926000000;5030000000;5273000000;4455000000;5605000000;6058000000;5665000000;5199000000;5645000000;5441000000;5466000000;5830000000;5999000000;5654000000;1702000000;;;
Bolivia;BOL;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92000000;100000000;129000000;137000000;124000000;101000000;119000000;143000000;243000000;283000000;345000000;330000000;326000000;302000000;306000000;339000000;499000000;631000000;639000000;746000000;810000000;827000000;928000000;948000000;977000000;243000000;;;
Brazil;BRA;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1085000000;744000000;1025000000;1398000000;1718000000;1969000000;1844000000;2142000000;2673000000;3389000000;4168000000;4577000000;5284000000;6109000000;5635000000;5522000000;6370000000;6623000000;6784000000;7405000000;6254000000;6613000000;6175000000;6324000000;6127000000;3099000000;;;
Chile;CHL;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1186000000;1209000000;1401000000;1431000000;1243000000;1179000000;1184000000;1221000000;1309000000;1571000000;1608000000;1853000000;2224000000;2481000000;2380000000;2362000000;2723000000;3158000000;3171000000;3202000000;3412000000;3744000000;4115000000;3911000000;3279000000;1034000000;;;
Colombia;COL;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;887000000;1362000000;1315000000;1216000000;1231000000;1313000000;1483000000;1237000000;1191000000;1535000000;1891000000;2370000000;2616000000;2966000000;3080000000;3473000000;3841000000;4409000000;4819000000;4941000000;5281000000;5631000000;5899000000;6655000000;6784000000;1959000000;;;
Costa Rica;CRI;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;763000000;797000000;860000000;1038000000;1256000000;1629000000;1480000000;1429000000;1573000000;1755000000;2008000000;2066000000;2454000000;2811000000;2216000000;2426000000;2646000000;2773000000;3171000000;3137000000;3408000000;3776000000;3758000000;4073000000;4282000000;1479000000;;;
Dominican Republic;DOM;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1571000000;1781000000;2099000000;2153000000;2483000000;2860000000;2798000000;2730000000;3128000000;3152000000;3518000000;3917000000;4064000000;4166000000;4049000000;4162000000;4391000000;4687000000;5055000000;5630000000;6116000000;6720000000;7184000000;7561000000;;;;;
Ecuador;ECU;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;315000000;330000000;335000000;330000000;377000000;451000000;438000000;449000000;408000000;464000000;488000000;492000000;626000000;745000000;674000000;786000000;849000000;1039000000;1251000000;1487000000;1557000000;1729000000;2018000000;2279000000;2288000000;705000000;;;
El Salvador;SLV;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152000000;155000000;;;408000000;437000000;452000000;521000000;664000000;748000000;656000000;686000000;793000000;711000000;549000000;646000000;729000000;900000000;1054000000;1285000000;1203000000;1161000000;1227000000;1370000000;1664000000;755000000;;;
Guatemala;GTM;International tourism, receipts (current US$);ST.INT.RCPT.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;216000000;221000000;270000000;329000000;374000000;498000000;588000000;647000000;646000000;630000000;791000000;919000000;1055000000;1098300049;1086300049;1053300049;1077400024;1110000000;1160699951;1164400024;1169500000;1202699951;1217599976;1235099976;1227199951;298500000;;;
