channelGrouping;date;device.browser;device.browserVersion;device.browserSize;device.operatingSystem;device.operatingSystemVersion;device.isMobile;device.mobileDeviceBranding;device.mobileDeviceModel;device.mobileInputSelector;device.mobileDeviceInfo;device.mobileDeviceMarketingName;device.flashVersion;device.language;device.screenColors;device.screenResolution;device.deviceCategory;fullVisitorId;geoNetwork.continent;geoNetwork.subContinent;geoNetwork.country;geoNetwork.region;geoNetwork.metro;geoNetwork.city;geoNetwork.cityId;geoNetwork.networkDomain;geoNetwork.latitude;geoNetwork.longitude;geoNetwork.networkLocation;sessionId;socialEngagementType;totals.visits;totals.hits;totals.pageviews;totals.transactionRevenue;totals.newVisits;trafficSource.campaign;trafficSource.source;trafficSource.medium;trafficSource.keyword;trafficSource.adwordsClickInfo.criteriaParameters;trafficSource.isTrueDirect;visitId;visitNumber;visitStartTime
Organic Search;20171127;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5131114589875530000;Americas;Northern America;United States;Texas;Austin TX;Austin;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5131114589875527211_1511815251;Not Socially Engaged;1;99;81;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1511815251;6;1511815251
Organic Search;20180227;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;415858110988350000;Europe;Southern Europe;Spain;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;jazztel.es;not available in demo dataset;not available in demo dataset;not available in demo dataset;0415858110988350288_1519723280;Not Socially Engaged;1;99;74;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1519723280;17;1519723280
Referral;20170807;Chrome;not available in demo dataset;not available in demo dataset;Linux;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;7773556214270510000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Milpitas;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;7773556214270509459_1502168554;Not Socially Engaged;1;99;74;;1;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1502168554;1;1502168554
Referral;20171127;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;1265293765829210000;Asia;Eastern Asia;Taiwan;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;kbronet.com.tw;not available in demo dataset;not available in demo dataset;not available in demo dataset;1265293765829214182_1511828869;Not Socially Engaged;1;99;70;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1511828869;4;1511828869
Direct;20171003;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;7449847015353820000;Americas;Northern America;United States;Washington;Seattle-Tacoma WA;Seattle;not available in demo dataset;qwest.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;7449847015353820013_1507059316;Not Socially Engaged;1;99;70;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1507059316;3;1507059316
Organic Search;20171021;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;8974783950346350000;Americas;Northern America;Canada;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;teksavvy.com;not available in demo dataset;not available in demo dataset;not available in demo dataset;8974783950346351261_1508644186;Not Socially Engaged;1;99;69;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1508644186;1;1508644186
Referral;20171124;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;484855810160253000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;verizon.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;0484855810160252629_1511561676;Not Socially Engaged;1;99;68;;1;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1511561676;1;1511561676
Direct;20171029;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;860200989617658000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;0860200989617658481_1509333574;Not Socially Engaged;1;99;66;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1509333574;9;1509333574
Referral;20171221;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5866333293760070000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5866333293760070498_1513912774;Not Socially Engaged;1;99;63;;1;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1513912774;1;1513912774
Referral;20171031;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6146991330288870000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;6146991330288873551_1509481820;Not Socially Engaged;1;99;62;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1509481820;3;1509481820
Direct;20180426;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;2097848786360750000;Asia;Eastern Asia;Japan;Tokyo;JP_KANTO;Chiyoda;not available in demo dataset;homes.co.jp;not available in demo dataset;not available in demo dataset;not available in demo dataset;2097848786360746138_1524790951;Not Socially Engaged;1;99;62;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1524790951;1;1524790951
Organic Search;20170908;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;2845557916700890000;Americas;Northern America;Canada;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;bell.ca;not available in demo dataset;not available in demo dataset;not available in demo dataset;2845557916700892019_1504895423;Not Socially Engaged;1;99;61;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1504895423;1;1504895423
Referral;20171024;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;198277913856728000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Jose;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;198277913856727505_1508877417;Not Socially Engaged;1;99;61;;1;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1508877417;1;1508877417
Organic Search;20171108;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3252733342106920000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;wideopenwest.com;not available in demo dataset;not available in demo dataset;not available in demo dataset;3252733342106918413_1510158547;Not Socially Engaged;1;99;60;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1510158547;1;1510158547
Referral;20171010;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;177938347650859000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;bhn.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;177938347650859102_1507652150;Not Socially Engaged;1;99;57;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1507652150;3;1507652150
